continent,location,people_fully_vaccinated,gdp_per_capita
South America,Argentina,34855203,18933.907
North America,Aruba,84135,35973.781
South America,Brazil,175899966,14103.452
Europe,Bulgaria,2076151,18563.307
Europe,Czechia,6892367,32605.906
Europe,Estonia,848768,29481.252
Europe,France,53171339,38605.671
Europe,Germany,63559689,45229.245
Europe,Greece,7644491,24574.382
Asia,India,951896386,6426.674
Europe,Ireland,4061087,67335.293
Asia,Israel,6159099,33132.32
Europe,Italy,47975207,35220.084
Asia,Japan,103330142,39002.223
Asia,Kuwait,3345016,65530.537
Asia,Kyrgyzstan,1372427,3393.474
Europe,Lithuania,1880264,29524.265
Asia,Malaysia,27543232,26808.164
Europe,Malta,471463,36513.323
South America,Peru,28549394,12236.706
Europe,Poland,22642606,27216.445
Asia,South Korea,44412087,35938.374
Europe,Switzerland,6012617,57410.166
Africa,Tunisia,6398950,10849.297
North America,United States,230142115,54225.446
South America,Uruguay,2899248,20551.409
