continent,location,date,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_million
Asia,Afghanistan,05/03/2023,5090.573,191.569,388200
Asia,Afghanistan,28/02/2023,5089.43,191.569,367000
Asia,Afghanistan,26/02/2023,5087.704,191.545,358500
Asia,Afghanistan,23/02/2023,5086.342,191.545,338200
Asia,Afghanistan,19/02/2023,5083.692,191.52,330800
Asia,Afghanistan,14/02/2023,5082.087,191.52,310900
Asia,Afghanistan,12/02/2023,5078.1,191.52,310500
Asia,Afghanistan,29/01/2023,5067.499,191.253,308400
Asia,Afghanistan,22/01/2023,5059.645,191.107,308100
Asia,Afghanistan,16/01/2023,5056.533,190.986,306400
Asia,Afghanistan,06/01/2023,5051.5,190.864,304600
Asia,Afghanistan,22/12/2022,5038.176,190.742,302700
Asia,Afghanistan,05/12/2022,5014.397,190.475,299200
Asia,Afghanistan,27/11/2022,4998.836,190.451,298500
Asia,Afghanistan,16/11/2022,4977.513,190.378,297000
Asia,Afghanistan,15/11/2022,4974.863,190.353,296700
Asia,Afghanistan,08/11/2022,4957.357,190.329,296000
Asia,Afghanistan,02/11/2022,4939.778,190.207,295200
Asia,Afghanistan,01/11/2022,4937.249,190.183,294300
Asia,Afghanistan,24/10/2022,4915.026,190.086,293100
Asia,Afghanistan,16/10/2022,4889.424,189.916,291200
Asia,Afghanistan,11/10/2022,4875.03,189.818,290600
Asia,Afghanistan,04/10/2022,4852.831,189.721,289900
Asia,Afghanistan,28/09/2022,4832.384,189.6,288900
Asia,Afghanistan,26/09/2022,4825.211,189.575,288600
Asia,Afghanistan,19/09/2022,4797.931,189.551,287400
Asia,Afghanistan,12/09/2022,4765.812,189.332,285300
Asia,Afghanistan,11/09/2022,4756.938,189.332,285100
Asia,Afghanistan,04/09/2022,4714.145,189.162,281800
Asia,Afghanistan,31/08/2022,4698.657,189.089,281100
Asia,Afghanistan,22/08/2022,4638.286,188.773,277000
Asia,Afghanistan,15/08/2022,4596.417,188.627,272700
Asia,Afghanistan,07/08/2022,4547.814,188.481,238800
Asia,Afghanistan,27/07/2022,4500.159,188.238,195500
Asia,Afghanistan,19/07/2022,4466.144,188.019,191700
Asia,Afghanistan,17/07/2022,4460.381,187.946,163100
Asia,Afghanistan,10/07/2022,4454.765,187.873,157800
Asia,Afghanistan,30/06/2022,4435.581,187.752,156700
Asia,Afghanistan,27/06/2022,4428.749,187.63,155800
Asia,Afghanistan,21/06/2022,4419.023,187.557,154500
Asia,Afghanistan,15/06/2022,4406.55,187.46,153100
Asia,Afghanistan,01/06/2022,4384.935,187.338,150100
Asia,Afghanistan,23/05/2022,4369.593,187.168,148800
Asia,Afghanistan,15/05/2022,4358.093,186.974,147500
Asia,Afghanistan,10/05/2022,4352.428,186.852,146600
Asia,Afghanistan,08/05/2022,4350.312,186.828,146500
Asia,Afghanistan,05/05/2022,4349.875,186.828,146400
Asia,Afghanistan,26/04/2022,4345.984,186.804,145500
Asia,Afghanistan,27/04/2022,4346.568,186.804,145500
Asia,Afghanistan,18/04/2022,4338.034,186.682,144600
Asia,Afghanistan,14/04/2022,4335.943,186.633,144400
Asia,Afghanistan,04/04/2022,4323.664,186.512,142800
Asia,Afghanistan,22/03/2022,4308.201,186.098,139800
Asia,Afghanistan,17/03/2022,4297.308,186.025,139300
Asia,Afghanistan,06/03/2022,4239.052,185.32,136100
Asia,Afghanistan,27/02/2022,4210.678,184.494,134600
Asia,Afghanistan,20/02/2022,4180.285,183.181,131600
Asia,Afghanistan,14/02/2022,4148.045,182.208,129400
Asia,Afghanistan,07/02/2022,4040.748,180.701,126800
Asia,Afghanistan,02/02/2022,3980.668,180.336,125300
Asia,Afghanistan,31/01/2022,3942.252,180.142,124600
Asia,Afghanistan,27/01/2022,3907.435,179.947,123500
Asia,Afghanistan,26/01/2022,3896.348,179.85,123400
Asia,Afghanistan,24/01/2022,3882.489,179.753,122700
Asia,Afghanistan,19/01/2022,3865.275,179.509,121700
Asia,Afghanistan,17/01/2022,3859.512,179.412,121200
Asia,Afghanistan,13/01/2022,3854.017,179.339,120500
Asia,Afghanistan,11/01/2022,3851.173,179.266,119700
Asia,Afghanistan,09/01/2022,3849.981,179.169,119200
Asia,Afghanistan,27/12/2021,3840.402,178.804,113700
Asia,Afghanistan,14/11/2021,3805.414,177.297,97700
Asia,Afghanistan,30/09/2021,3769.916,175.157,57600
Asia,Afghanistan,31/08/2021,3725.373,173.066,48100
Asia,Afghanistan,20/08/2021,3706.602,171.51,29200
Asia,Afghanistan,24/07/2021,3493.078,155.439,28500
Asia,Afghanistan,18/07/2021,3418.58,149.457,26600
Asia,Afghanistan,14/07/2021,3322.321,144.011,24900
Asia,Afghanistan,11/07/2021,3247.799,139.173,23400
Asia,Afghanistan,07/07/2021,3137.001,131.66,22700
Asia,Afghanistan,05/07/2021,3062.017,128.45,22300
Asia,Afghanistan,30/06/2021,2885.061,118.433,21600
Asia,Afghanistan,27/06/2021,2777.131,113.06,20300
Asia,Afghanistan,22/06/2021,2571.168,104.379,18600
Asia,Afghanistan,14/06/2021,2223.699,87.822,16100
Asia,Afghanistan,08/06/2021,2001.664,79.044,15600
Asia,Afghanistan,03/06/2021,1826.434,73.768,15300
Asia,Afghanistan,02/06/2021,1799.859,73.112,15200
Asia,Afghanistan,30/05/2021,1720.474,70.972,14600
Asia,Afghanistan,26/05/2021,1647.095,69.416,14400
Asia,Afghanistan,27/05/2021,1662.243,69.757,14400
Asia,Afghanistan,24/05/2021,1611.402,68.371,13900
Asia,Afghanistan,20/05/2021,1570.069,67.398,13300
Asia,Afghanistan,11/05/2021,1517.259,65.891,12300
Asia,Afghanistan,22/04/2021,1417.791,62.268,5800
Asia,Afghanistan,07/04/2021,1382.803,61.076,2900
Asia,Afghanistan,16/03/2021,1361.456,59.812,1300
Asia,Afghanistan,28/02/2021,1354.623,59.399,200
Asia,Afghanistan,22/02/2021,1352.265,59.156,0
Europe,Albania,05/02/2023,117252.538,1265.165,1075900
Europe,Albania,15/01/2023,117176.544,1265.165,1072100
Europe,Albania,08/01/2023,117114.974,1265.165,1070500
